sustentacao: 0.09479626            sustentacao x: 0.0            sustentacao y: -0.09479626
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 728.4651            posicao x: 115.99479            posicao y: 719.1708


sustentacao: 0.09488088            sustentacao x: 0.0            sustentacao y: -0.09488088
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 728.6126            posicao x: 116.99471            posicao y: 719.15826


sustentacao: 0.09495472            sustentacao x: 0.0            sustentacao y: -0.09495472
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 728.7665            posicao x: 117.9947            posicao y: 719.1508


sustentacao: 0.09501069            sustentacao x: 0.0            sustentacao y: -0.09501069
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 728.9268            posicao x: 118.99474            posicao y: 719.1485


sustentacao: 0.09506254            sustentacao x: 0.0            sustentacao y: -0.09506254
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 729.09357            posicao x: 119.99486            posicao y: 719.15137


sustentacao: 0.09509381            sustentacao x: 0.0            sustentacao y: -0.09509381
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 729.26697            posicao x: 120.995026            posicao y: 719.1596


sustentacao: 0.09511617            sustentacao x: 0.0            sustentacao y: -0.09511617
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 729.44714            posicao x: 121.995255            posicao y: 719.17334


sustentacao: 0.09511687            sustentacao x: 0.0            sustentacao y: -0.09511687
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
